Property Name,Year,Bedroom,Profit
Botanique at Bartley,2019,1,197.7
High Park Residences,2019,1,251.9
North Park Residences,2019,1,161
Botanique at Bartley,2020,1,185.4
High Park Residences,2020,1,238.3
North Park Residences,2020,1,57
Botanique at Bartley,2021,1,254.8
High Park Residences,2021,1,302.8
North Park Residences,2021,1,50.6
Botanique at Bartley,2019,2,201.4
High Park Residences,2019,2,219.4
North Park Residences,2019,2,187.4
Botanique at Bartley,2020,2,190.4
High Park Residences,2020,2,208.2
North Park Residences,2020,2,158.3
Botanique at Bartley,2021,2,277.4
High Park Residences,2021,2,262.8
North Park Residences,2021,2,227.5
